@relation weather.symbolic

@attribute DepthTree numeric
@attribute NumSubclass numeric
@attribute McCabe numeric
@attribute LOC numeric
@attribute DepthNested numeric
@attribute CA numeric
@attribute CE numeric
@attribute Instability numeric
@attribute numCovered numeric
@attribute operator {T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15}
@attribute methodReturn {I,V,Z,method,D,[D,[[D,J,[I,C,[J,[C,[S,F,[F,[B,S,B,[Z,[[S,[[B,[[Z}
@attribute numTestsCover numeric
@attribute mutantAssert numeric
@attribute classAssert numeric
@attribute isKilled {yes, no}

@data
0,0,1,9,1,1,5,0.833,2,T5,V,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T6,V,1,2,0,no
0,0,1,9,1,1,5,0.833,2,T7,V,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T7,V,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T7,V,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T7,V,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T7,V,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T7,V,1,2,0,no
0,0,1,9,1,1,5,0.833,2,T8,V,1,2,0,no
0,0,1,9,1,1,5,0.833,2,T10,V,1,2,0,yes
0,0,3,12,2,2,24,0.923,0,T1,method,0,0,0,no
0,0,3,12,2,2,24,0.923,6,T7,method,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,method,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,method,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,method,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,method,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,method,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T9,method,1,29,0,yes
0,0,1,7,1,2,24,0.923,6,T3,method,1,29,0,yes
0,0,1,7,1,2,24,0.923,6,T7,method,1,29,0,yes
0,0,1,7,1,2,24,0.923,6,T7,method,1,29,0,yes
0,0,1,7,1,2,24,0.923,6,T7,method,1,29,0,yes
0,0,1,7,1,2,24,0.923,6,T7,method,1,29,0,yes
0,0,1,7,1,2,24,0.923,6,T9,method,1,29,0,yes
0,0,1,7,2,2,24,0.923,16,T0,V,1,29,0,no
0,0,1,7,2,2,24,0.923,2,T1,V,1,29,0,no
0,0,1,7,2,2,24,0.923,16,T2,V,1,29,0,no
0,0,1,7,2,2,24,0.923,16,T3,V,1,29,0,no
0,0,1,7,2,2,24,0.923,16,T6,V,1,29,0,yes
0,0,1,7,2,2,24,0.923,2,T7,V,1,29,0,no
0,0,1,7,2,2,24,0.923,16,T7,V,1,29,0,no
0,0,1,7,2,2,24,0.923,14,T7,V,1,29,0,no
0,0,1,7,2,2,24,0.923,14,T7,V,1,29,0,yes
0,0,1,7,2,2,24,0.923,16,T11,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,0,T1,V,0,0,0,no
0,0,3,12,2,2,24,0.923,6,T3,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T10,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,0,T1,method,0,0,0,no
0,0,3,12,2,2,24,0.923,6,T7,method,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,method,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,method,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,method,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,method,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,method,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T9,method,1,29,0,yes
0,0,1,7,1,2,24,0.923,6,T3,method,1,29,0,yes
0,0,1,7,1,2,24,0.923,6,T7,method,1,29,0,yes
0,0,1,7,1,2,24,0.923,6,T7,method,1,29,0,yes
0,0,1,7,1,2,24,0.923,6,T7,method,1,29,0,yes
0,0,1,7,1,2,24,0.923,6,T7,method,1,29,0,yes
0,0,1,7,1,2,24,0.923,6,T9,method,1,29,0,yes
0,0,1,7,2,2,24,0.923,16,T0,V,1,29,0,no
0,0,1,7,2,2,24,0.923,2,T1,V,1,29,0,no
0,0,1,7,2,2,24,0.923,16,T2,V,1,29,0,no
0,0,1,7,2,2,24,0.923,16,T3,V,1,29,0,no
0,0,1,7,2,2,24,0.923,16,T6,V,1,29,0,yes
0,0,1,7,2,2,24,0.923,2,T7,V,1,29,0,no
0,0,1,7,2,2,24,0.923,16,T7,V,1,29,0,no
0,0,1,7,2,2,24,0.923,14,T7,V,1,29,0,no
0,0,1,7,2,2,24,0.923,14,T7,V,1,29,0,yes
0,0,1,7,2,2,24,0.923,16,T11,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,0,T1,V,0,0,0,no
0,0,3,12,2,2,24,0.923,6,T3,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T7,V,1,29,0,yes
0,0,3,12,2,2,24,0.923,6,T10,V,1,29,0,yes
0,0,2,9,2,2,24,0.923,12,T0,method,1,29,0,no
0,0,2,9,2,2,24,0.923,2,T1,method,1,29,0,yes
0,0,2,9,2,2,24,0.923,12,T2,method,1,29,0,yes
0,0,2,9,2,2,24,0.923,12,T3,method,1,29,0,no
0,0,2,9,2,2,24,0.923,12,T6,method,1,29,0,no
0,0,2,9,2,2,24,0.923,2,T7,method,1,29,0,no
0,0,2,9,2,2,24,0.923,10,T7,method,1,29,0,no
0,0,2,9,2,2,24,0.923,2,T9,method,1,29,0,yes
0,0,2,9,2,2,24,0.923,10,T10,method,1,29,0,no
0,0,2,9,2,2,24,0.923,12,T11,method,1,29,0,yes
0,0,2,9,2,2,24,0.923,12,T0,method,1,29,0,no
0,0,2,9,2,2,24,0.923,2,T1,method,1,29,0,yes
0,0,2,9,2,2,24,0.923,12,T2,method,1,29,0,yes
0,0,2,9,2,2,24,0.923,2,T3,method,1,29,0,yes
0,0,2,9,2,2,24,0.923,12,T3,method,1,29,0,no
0,0,2,9,2,2,24,0.923,12,T6,method,1,29,0,no
0,0,2,9,2,2,24,0.923,2,T7,method,1,29,0,no
0,0,2,9,2,2,24,0.923,10,T7,method,1,29,0,no
0,0,2,9,2,2,24,0.923,2,T9,method,1,29,0,yes
0,0,2,9,2,2,24,0.923,10,T10,method,1,29,0,no
0,0,2,9,2,2,24,0.923,12,T11,method,1,29,0,yes
0,0,2,8,2,2,24,0.923,12,T0,V,1,29,0,no
0,0,2,8,2,2,24,0.923,12,T2,V,1,29,0,yes
0,0,2,8,2,2,24,0.923,2,T3,V,1,29,0,no
0,0,2,8,2,2,24,0.923,12,T3,V,1,29,0,no
0,0,2,8,2,2,24,0.923,12,T6,V,1,29,0,no
0,0,2,8,2,2,24,0.923,2,T7,V,1,29,0,no
0,0,2,8,2,2,24,0.923,2,T7,V,1,29,0,no
0,0,2,8,2,2,24,0.923,10,T7,V,1,29,0,no
0,0,2,8,2,2,24,0.923,10,T10,V,1,29,0,no
0,0,2,8,2,2,24,0.923,12,T11,V,1,29,0,yes
0,0,1,3,1,0,1,1,30,T0,Z,1,8,0,no
0,0,1,3,1,0,1,1,30,T3,Z,1,8,0,yes
0,0,1,3,1,0,1,1,30,T3,Z,1,8,0,yes
0,0,1,3,1,0,1,1,30,T6,Z,1,8,0,yes
0,0,1,3,1,0,1,1,30,T6,Z,1,8,0,yes
0,0,1,3,1,0,1,1,30,T7,Z,1,8,0,yes
0,0,1,3,1,0,1,1,30,T7,Z,1,8,0,yes
0,0,1,3,1,0,1,1,30,T7,Z,1,8,0,yes
0,0,1,3,1,0,1,1,30,T8,Z,1,8,0,no
0,0,1,3,1,0,1,1,30,T9,Z,1,8,0,yes
0,0,1,7,1,0,1,1,10,T1,method,1,8,0,yes
0,0,1,7,1,0,1,1,10,T7,method,1,8,0,yes
0,0,1,7,1,0,1,1,10,T9,method,1,8,0,yes
0,0,1,7,1,0,1,1,10,T10,method,1,8,0,no
0,0,1,7,1,0,1,1,10,T10,method,1,8,0,yes
0,0,1,7,1,0,1,1,10,T10,method,1,8,0,yes
0,0,1,7,1,0,1,1,10,T7,method,1,8,0,yes
0,0,1,7,1,0,1,1,10,T7,method,1,8,0,yes
0,0,1,7,1,0,1,1,10,T7,method,1,8,0,yes
0,0,1,7,1,0,1,1,10,T7,method,1,8,0,yes
0,0,1,7,1,0,1,1,10,T7,method,1,8,0,yes
0,0,1,7,1,0,1,1,10,T9,method,1,8,0,yes
0,0,1,6,1,0,1,1,6,T7,V,1,8,0,yes
0,0,1,6,1,0,1,1,6,T7,V,1,8,0,yes
0,0,1,6,1,0,1,1,6,T7,V,1,8,0,yes
0,0,1,6,1,0,1,1,6,T7,V,1,8,0,yes
0,0,1,6,1,0,1,1,6,T7,V,1,8,0,yes
0,0,1,6,1,0,1,1,6,T7,V,1,8,0,yes
0,0,1,6,1,0,1,1,6,T10,V,1,8,0,yes
0,0,1,6,1,0,1,1,6,T10,V,1,8,0,yes
0,0,1,3,1,1,5,0.833,2,T3,V,1,2,0,yes
0,0,1,3,1,1,5,0.833,2,T10,V,1,2,0,yes
0,0,1,7,1,1,5,0.833,2,T1,method,1,2,0,yes
0,0,1,7,1,1,5,0.833,2,T3,method,1,2,0,yes
0,0,1,7,1,1,5,0.833,2,T3,method,1,2,0,yes
0,0,1,7,1,1,5,0.833,2,T7,method,1,2,0,yes
0,0,1,7,1,1,5,0.833,2,T7,method,1,2,0,yes
0,0,1,7,1,1,5,0.833,2,T7,method,1,2,0,no
0,0,1,7,1,1,5,0.833,2,T9,method,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T3,V,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T3,V,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T6,V,1,2,0,no
0,0,1,9,1,1,5,0.833,2,T7,V,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T7,V,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T7,V,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T7,V,1,2,0,no
0,0,1,9,1,1,5,0.833,2,T7,V,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T7,V,1,2,0,yes
0,0,1,9,1,1,5,0.833,2,T8,V,1,2,0,no
0,0,1,9,1,1,5,0.833,2,T10,V,1,2,0,yes
0,0,2,7,2,2,24,0.923,0,T1,V,0,0,0,no
0,0,2,7,2,2,24,0.923,8,T3,V,1,29,0,yes
0,0,2,7,2,2,24,0.923,8,T3,V,1,29,0,yes
0,0,2,7,2,2,24,0.923,8,T7,V,1,29,0,yes
0,0,2,7,2,2,24,0.923,8,T12,V,1,29,0,yes
0,0,1,4,1,2,24,0.923,8,T7,method,1,29,0,yes
0,0,1,4,1,2,24,0.923,8,T9,method,1,29,0,yes
0,0,2,8,2,2,24,0.923,0,T1,method,0,0,0,no
0,0,2,8,2,2,24,0.923,12,T3,method,1,29,0,yes
0,0,2,8,2,2,24,0.923,12,T3,method,1,29,0,yes
0,0,2,8,2,2,24,0.923,12,T3,method,1,29,0,yes
0,0,2,8,2,2,24,0.923,12,T7,method,1,29,0,yes
0,0,2,8,2,2,24,0.923,12,T7,method,1,29,0,yes
0,0,2,8,2,2,24,0.923,12,T7,method,1,29,0,yes
0,0,2,8,2,2,24,0.923,12,T9,method,1,29,0,yes
0,0,1,4,1,2,24,0.923,12,T3,V,1,29,0,yes
0,0,1,4,1,2,24,0.923,12,T7,V,1,29,0,yes
0,0,1,4,1,2,24,0.923,12,T7,V,1,29,0,yes
1,0,3,8,1,2,24,0.923,2,T1,method,1,3,0,yes
1,0,3,8,1,2,24,0.923,2,T1,method,1,3,0,yes
1,0,3,8,1,2,24,0.923,10,T6,method,1,3,0,yes
1,0,3,8,1,2,24,0.923,8,T6,method,1,3,0,yes
1,0,3,8,1,2,24,0.923,10,T7,method,1,3,0,yes
1,0,3,8,1,2,24,0.923,8,T7,method,1,3,0,yes
1,0,3,8,1,2,24,0.923,10,T8,method,1,3,0,yes
1,0,3,8,1,2,24,0.923,8,T8,method,1,3,0,yes
1,0,3,8,1,2,24,0.923,2,T9,method,1,3,0,yes
1,0,3,8,1,2,24,0.923,2,T9,method,1,3,0,yes
1,0,3,8,1,2,24,0.923,6,T9,method,1,3,0,yes
1,0,2,7,2,2,24,0.923,0,T1,method,0,0,0,no
1,0,2,7,2,2,24,0.923,0,T7,method,0,0,0,no
1,0,2,7,2,2,24,0.923,0,T9,method,0,0,0,no
1,0,2,7,2,2,24,0.923,4,T7,method,1,3,0,no
1,0,2,7,2,2,24,0.923,4,T9,method,1,3,0,no
1,0,2,7,2,2,24,0.923,0,T9,method,0,0,0,no
0,0,1,3,1,2,24,0.923,2,T3,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,6,1,2,24,0.923,2,T7,method,1,29,0,yes
0,0,1,6,1,2,24,0.923,2,T7,method,1,29,0,yes
0,0,1,6,1,2,24,0.923,2,T7,method,1,29,0,yes
0,0,1,6,1,2,24,0.923,2,T9,method,1,29,0,yes
0,0,1,6,1,2,24,0.923,2,T7,V,1,29,0,yes
0,0,1,6,1,2,24,0.923,2,T7,V,1,29,0,yes
0,0,1,6,1,2,24,0.923,2,T7,V,1,29,0,yes
0,0,1,6,1,2,24,0.923,2,T7,V,1,29,0,yes
0,0,1,6,1,2,24,0.923,2,T7,V,1,29,0,yes
0,0,1,6,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,6,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T3,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,6,1,2,24,0.923,4,T3,method,1,29,0,yes
0,0,1,6,1,2,24,0.923,4,T7,method,1,29,0,yes
0,0,1,6,1,2,24,0.923,4,T7,method,1,29,0,yes
0,0,1,6,1,2,24,0.923,4,T7,method,1,29,0,yes
0,0,1,6,1,2,24,0.923,4,T9,method,1,29,0,yes
0,0,1,5,1,2,24,0.923,4,T3,V,1,29,0,yes
0,0,1,5,1,2,24,0.923,4,T7,V,1,29,0,yes
0,0,1,5,1,2,24,0.923,4,T7,V,1,29,0,yes
0,0,1,5,1,2,24,0.923,4,T7,V,1,29,0,yes
0,0,1,5,1,2,24,0.923,4,T10,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T3,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T1,method,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T7,method,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T7,method,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T9,method,1,29,0,yes
0,0,1,5,1,2,24,0.923,2,T7,V,1,29,0,yes
0,0,1,5,1,2,24,0.923,2,T7,V,1,29,0,yes
0,0,1,5,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,5,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T3,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,5,1,2,24,0.923,2,T7,method,1,29,0,yes
0,0,1,5,1,2,24,0.923,2,T7,method,1,29,0,yes
0,0,1,5,1,2,24,0.923,2,T9,method,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T3,V,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T7,V,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T3,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,5,1,2,24,0.923,2,T7,method,1,29,0,yes
0,0,1,5,1,2,24,0.923,2,T7,method,1,29,0,yes
0,0,1,5,1,2,24,0.923,2,T9,method,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T7,V,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T7,V,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T3,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T7,method,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T7,method,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T9,method,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T7,V,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,2,12,2,2,24,0.923,0,T1,V,1,29,0,no
0,0,2,12,2,2,24,0.923,0,T1,V,1,29,0,no
0,0,2,12,2,2,24,0.923,0,T6,V,1,29,0,no
0,0,2,12,2,2,24,0.923,0,T8,V,1,29,0,no
0,0,2,12,2,2,24,0.923,0,T10,V,1,29,0,no
1,0,1,4,1,2,24,0.923,4,T12,V,1,8,0,yes
1,0,1,4,1,2,24,0.923,4,T12,V,1,8,0,yes
1,0,1,4,1,2,24,0.923,4,T1,method,1,8,0,yes
1,0,1,4,1,2,24,0.923,4,T9,method,1,8,0,yes
0,0,1,3,1,2,24,0.923,2,T3,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T9,method,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T3,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T9,method,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T3,V,1,29,0,yes
0,0,1,3,1,2,24,0.923,2,T10,V,1,29,0,yes
0,0,1,4,1,2,24,0.923,2,T9,method,1,29,0,yes
0,0,1,5,1,2,24,0.923,0,T7,method,0,0,0,no
0,0,1,5,1,2,24,0.923,0,T9,method,0,0,0,no
0,0,1,5,1,2,24,0.923,28,T1,V,1,29,0,yes
0,0,1,5,1,2,24,0.923,28,T10,V,1,29,0,yes
